CODUSU,ANO4,TRIMESTRE,NRO_HOGAR,COMPONENTE,H15,REGION,MAS_500,AGLOMERADO,PONDERA,CH03,CH04,CH05,CH06,CH07,CH08,CH09,CH10,CH11,CH12,CH13,CH14,CH15,CH15_COD,CH16,CH16_COD,NIVEL_ED,ESTADO,CAT_OCUP,CAT_INAC,IMPUTA,PP02C1,PP02C2,PP02C3,PP02C4,PP02C5,PP02C6,PP02C7,PP02C8,PP02E,PP02H,PP02I,PP03C,PP03D,PP3E_TOT,PP3F_TOT,PP03G,PP03H,PP03I,PP03J,INTENSI,PP04A,PP04B_COD,PP04B1,PP04B2,PP04B3_MES,PP04B3_ANO,PP04B3_DIA,PP04C,PP04C99,PP04D_COD,PP04G,PP05B2_MES,PP05B2_ANO,PP05B2_DIA,PP05C_1,PP05C_2,PP05C_3,PP05E,PP05F,PP05H,PP06A,PP06C,PP06D,PP06E,PP06H,PP07A,PP07C,PP07D,PP07E,PP07F1,PP07F2,PP07F3,PP07F4,PP07F5,PP07G1,PP07G2,PP07G3,PP07G4,PP07G_59,PP07H,PP07I,PP07J,PP07K,PP08D1,PP08D4,PP08F1,PP08F2,PP08J1,PP08J2,PP08J3,PP09A,PP09A_ESP,PP09B,PP09C,PP09C_ESP,PP10A,PP10C,PP10D,PP10E,PP11A,PP11B_COD,PP11B1,PP11B2_MES,PP11B2_ANO,PP11B2_DIA,PP11C,PP11C99,PP11D_COD,PP11G_ANO,PP11G_MES,PP11G_DIA,PP11L,PP11L1,PP11M,PP11N,PP11O,PP11P,PP11Q,PP11R,PP11S,PP11T,P21,DECOCUR,IDECOCUR,RDECOCUR,GDECOCUR,PDECOCUR,ADECOCUR,PONDIIO,TOT_P12,P47T,DECINDR,IDECINDR,RDECINDR,GDECINDR,PDECINDR,ADECINDR,PONDII,V2_M,V3_M,V4_M,V5_M,V8_M,V9_M,V10_M,V11_M,V12_M,V18_M,V19_AM,V21_M,T_VI,ITF,DECIFR,IDECIFR,RDECIFR,GDECIFR,PDECIFR,ADECIFR,IPCF,DECCFR,IDECCFR,RDECCFR,GDECCFR,PDECCFR,ADECCFR,PONDIH,año
TQRMNOTQYHLNKQCDEHMHF00854209,2024,1,1,2,1,42,N,26,123,2,Femenino,1968-10-10 00:00:00,55,2,1,1,2,0,2,1,,1,,1,,2,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,30.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8401.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,56314.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,9.0,1.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,170000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,170000,3,4.0,4,,4.0,2,124,0,170000.0,4,4.0,4,,4.0,3,120,0,0,0,0,0,0,0,0,0,0,0,0,0,350000,4,4.0,4,,4.0,3,175000.0,5,5.0,5,,5.0,5,135,2024
TQRMNOQVSHMOKNCDEHMHF00801007,2024,1,1,1,1,42,N,26,141,1,Masculino,1954-12-22 00:00:00,69,1,1,1,2,0,2,1,,3,50.0,1,,2,3,0,1,,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0,,0.0,0,141,0,180000.0,4,4.0,4,,4.0,3,138,180000,0,0,0,0,0,0,0,0,0,0,0,180000,680000,7,8.0,7,,8.0,7,340000.0,8,8.0,9,,8.0,8,149,2024
TQRMNOQVSHMOKNCDEHMHF00801007,2024,1,1,2,1,42,N,26,141,2,Femenino,1965-01-16 00:00:00,59,1,1,1,2,0,7,1,,1,,1,,6,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,30.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,8401.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,10333.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000,9,9.0,9,,9.0,9,153,0,500000.0,9,9.0,9,,9.0,9,150,0,0,0,0,0,0,0,0,0,0,0,0,0,680000,7,8.0,7,,8.0,7,340000.0,8,8.0,9,,8.0,8,149,2024
TQRMNOTTVHMOKNCDEHMHF00800978,2024,1,1,1,1,42,N,26,134,1,Masculino,1974-11-26 00:00:00,49,3,4,1,2,0,2,1,,3,62.0,1,,2,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,30.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,4000.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,72314.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,9.0,4.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,4.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,80000,2,2.0,2,,2.0,1,137,0,80000.0,2,2.0,2,,2.0,1,132,0,0,0,0,0,0,0,0,0,0,0,0,0,80000,1,1.0,1,,1.0,1,80000.0,2,2.0,2,,2.0,1,139,2024
TQRMNOUVWHMMKOCDEHMHF00800979,2024,1,1,1,1,42,N,26,308,1,Femenino,1983-01-19 00:00:00,41,1,4,1,2,0,2,1,,3,50.0,1,,2,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,15.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,9700.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,55314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,4.0,65000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,65000,1,1.0,2,,1.0,1,312,0,285955.0,6,6.0,7,,6.0,5,312,0,0,0,220955,0,0,0,0,0,0,0,0,220955,465955,5,5.0,5,,6.0,5,58244.38,1,1.0,1,,1.0,1,323,2024
TQRMNOUVWHMMKOCDEHMHF00800979,2024,1,1,2,1,42,N,26,308,2,Masculino,1980-10-18 00:00:00,43,1,4,1,2,0,2,1,,3,50.0,1,,2,1,2,0,,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,40.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,4000.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,58113.0,8.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,7.0,5.0,2.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,2,2.0,3,,2.0,2,360,0,100000.0,2,2.0,2,,2.0,1,346,0,0,0,0,0,0,0,0,0,0,0,0,0,465955,5,5.0,5,,6.0,5,58244.38,1,1.0,1,,1.0,1,323,2024
TQRMNOUVWHMMKOCDEHMHF00800979,2024,1,1,3,1,42,N,26,308,3,Masculino,2001-04-18 00:00:00,22,5,4,1,2,0,2,2,3.0,3,50.0,1,,1,2,3,0,,1,1,1,2,1,2,2,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,1.0,2.0,2.0,4803.0,2.0,0.0,0.0,0.0,6.0,0.0,30333.0,0.0,6.0,0.0,0.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,0,0,0.0,0,,0.0,0,308,0,0.0,0,0.0,0,,0.0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,465955,5,5.0,5,,6.0,5,58244.38,1,1.0,1,,1.0,1,323,2024
TQRMNOUVWHMMKOCDEHMHF00800979,2024,1,1,4,1,42,N,26,308,3,Masculino,2005-02-22 00:00:00,19,5,4,1,2,0,4,2,3.0,3,50.0,1,,3,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,30.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1009.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,30313.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,9.0,4.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,4.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,80000,2,2.0,2,,2.0,1,316,0,80000.0,1,2.0,2,,2.0,1,311,0,0,0,0,0,0,0,0,0,0,0,0,0,465955,5,5.0,5,,6.0,5,58244.38,1,1.0,1,,1.0,1,323,2024
TQRMNOUVWHMMKOCDEHMHF00800979,2024,1,1,5,1,42,N,26,308,3,Masculino,2007-11-29 00:00:00,16,5,4,1,1,1,4,2,1.0,3,50.0,1,,3,3,0,3,,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0,,0.0,0,308,0,0.0,0,0.0,0,,0.0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,465955,5,5.0,5,,6.0,5,58244.38,1,1.0,1,,1.0,1,323,2024
TQRMNOUVWHMMKOCDEHMHF00800979,2024,1,1,6,1,42,N,26,308,3,Masculino,2010-02-26 00:00:00,14,5,4,1,1,1,4,2,0.0,3,50.0,1,,3,3,0,3,,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0,,0.0,0,308,0,0.0,0,0.0,0,,0.0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,465955,5,5.0,5,,6.0,5,58244.38,1,1.0,1,,1.0,1,323,2024
